day	S
730	2.747911578
731	2.744045419
732	2.740115456
733	2.737208371
734	2.733904533
735	2.732676089
736	2.731536308
737	2.729163618
738	2.726207121
739	2.723465403
740	2.722226012
741	2.72040397
742	2.7170563
743	2.714035716
744	2.710096167
745	2.707590712
746	2.703919416
747	2.697972243
748	2.692952241
749	2.688646048
750	2.685005388
751	2.684071448
752	2.682853975
753	2.680303592
754	2.678406577
755	2.675213202
756	2.670377861
757	2.665304893
758	2.661007317
759	2.659824685
760	2.657398305
761	2.652207086
762	2.645892532
763	2.641135088
764	2.637874541
765	2.635848895
766	2.633314334
767	2.629939564
768	2.625771201
769	2.6203522
770	2.614119494
771	2.608396412
772	2.602914034
773	2.598242882
774	2.596026974
775	2.595012503
776	2.593324849
777	2.590368983
778	2.586959506
779	2.584372729
780	2.579703165
781	2.574902311
782	2.569279692
783	2.565962395
784	2.566738264
785	2.568474468
786	2.565715511
787	2.561569772
788	2.56095569
789	2.563092983
790	2.562102965
791	2.559538106
792	2.556089243
793	2.553085507
794	2.549118064
795	2.547263096
796	2.547078198
797	2.545738123
798	2.542910148
799	2.540720736
800	2.537474268
801	2.534616703
802	2.532850826
803	2.531399007
804	2.529017385
805	2.528867044
806	2.527305451
807	2.525260039
808	2.524227585
809	2.523469744
810	2.522755483
811	2.524143891
812	2.524232094
813	2.524191773
814	2.522085725
815	2.519586897
816	2.517151521
817	2.512794998
818	2.50870542
819	2.507806507
820	2.508411719
821	2.509748096
822	2.507196088
823	2.503013427
824	2.497793325
825	2.493579242
826	2.491901367
827	2.491133709
828	2.49215244
829	2.491331317
830	2.491250062
831	2.488558732
832	2.486768969
833	2.485197376
834	2.486687119
835	2.487257002
836	2.487336477
837	2.488047535
838	2.48777447
839	2.487474808
840	2.489250857
841	2.49048882
842	2.491679453
843	2.493164193
844	2.494781674
845	2.495110443
846	2.494605321
847	2.495495264
848	2.495173514
849	2.495354958
850	2.49618757
851	2.497378388
852	2.498920719
853	2.500570939
854	2.501564184
855	2.500838973
856	2.499614619
857	2.501375748
858	2.504678069
859	2.508720557
860	2.512035305
861	2.515469426
862	2.518582702
863	2.522244116
864	2.527643239
